Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,OG Anunoby8,F,28,"6' 7""",240 lbs,Indiana,"$39,568,966",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Mikal Bridges25,G,29,"6' 6""",209 lbs,Villanova,"$24,900,000",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Jalen Brunson11,G,29,"6' 2""",190 lbs,Villanova,"$34,944,001",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Jordan Clarkson00,G,33,"6' 5""",194 lbs,Missouri,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Pacome Dadiet4,F,20,"6' 9""",210 lbs,--,"$2,847,600",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Mohamed Diawara51,F,20,"6' 9""",225 lbs,--,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Tosan Evbuomwan20,F,24,"6' 8""",217 lbs,Princeton,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Josh Hart3,G,30,"6' 5""",215 lbs,Villanova,"$19,472,240",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Ariel Hukporti55,C,23,"7' 0""",246 lbs,--,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Trey Jemison III50,F,25,"6' 10""",270 lbs,UAB,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Tyler Kolek13,G,24,"6' 2""",195 lbs,Marquette,"$2,191,897",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Miles McBride2,G,25,"6' 2""",195 lbs,West Virginia,"$4,333,333",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
