Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team
,Dariq Whitehead0,F,21,"6' 6""",220 lbs,Duke,"$3,262,560",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets
,Ziaire Williams1,F,24,"6' 9""",185 lbs,Stanford,"$6,250,000",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets
,Jalen Wilson22,F,24,"6' 6""",220 lbs,Kansas,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets
,Danny Wolf2,F,21,"7' 0""",254 lbs,Michigan,"$2,801,280",https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets
,Fanbo Zeng12,F,22,"6' 11""",199 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/bkn/brooklyn-nets,brooklyn-nets
,OG Anunoby8,SF,28,"6' 7""",240 lbs,Indiana,"$39,568,966",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Mikal Bridges25,SF,29,"6' 6""",209 lbs,Villanova,"$24,900,000",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Malcolm Brogdon5,G,32,"6' 4""",229 lbs,Virginia,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Jalen Brunson11,PG,29,"6' 2""",190 lbs,Villanova,"$34,944,001",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Boo Buie,G,25,"6' 2""",180 lbs,Northwestern,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Jordan Clarkson00,G,33,"6' 3""",194 lbs,Missouri,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Pacome Dadiet4,G,20,"6' 8""",210 lbs,--,"$2,847,600",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Mohamed Diawara51,F,20,"6' 8""",--,--,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Tosan Evbuomwan20,F,24,"6' 7""",217 lbs,Princeton,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Josh Hart3,SG,30,"6' 4""",215 lbs,Villanova,"$19,472,240",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Ariel Hukporti55,C,23,"6' 11""",246 lbs,--,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Trey Jemison III50,F,25,"6' 11""",275 lbs,UAB,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Tyler Kolek13,G,24,"6' 3""",195 lbs,Marquette,"$2,191,897",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Alex Len21,C,32,"7' 0""",250 lbs,Maryland,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Garrison Mathews14,G,28,"6' 6""",215 lbs,Lipscomb,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Miles McBride2,PG,25,"6' 1""",195 lbs,West Virginia,"$4,333,333",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Kevin McCullar Jr.9,PG,24,"6' 6""",210 lbs,Kansas,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Alex O'Connell,F,26,"6' 6""",185 lbs,Creighton,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Chuma Okeke,F,27,"6' 7""",229 lbs,Auburn,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Mitchell Robinson23,C,27,"7' 0""",240 lbs,--,"$12,954,546",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Matt Ryan37,F,28,"6' 6""",215 lbs,Chattanooga,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Landry Shamet44,PG,28,"6' 4""",190 lbs,Wichita State,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Karl-Anthony Towns32,C,29,"7' 0""",248 lbs,Kentucky,"$53,142,264",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Guerschon Yabusele28,F,29,"6' 8""",265 lbs,--,"$5,500,000",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks
,Dominick Barlow25,F,22,"6' 8""",215 lbs,--,"$2,270,735",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Emoni Bates17,F,21,"6' 8""",202 lbs,Eastern Michigan,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Adem Bona30,C,22,"6' 10""",235 lbs,UCLA,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Johni Broome22,F,23,"6' 10""",240 lbs,Auburn,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Kennedy Chandler14,G,23,"5' 11""",170 lbs,Tennessee,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Andre Drummond1,C,32,"6' 11""",279 lbs,UConn,"$5,000,000",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,VJ Edgecombe77,G,20,"6' 5""",180 lbs,Baylor,"$11,108,880",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Justin Edwards11,F,21,"6' 7""",203 lbs,Kentucky,"$2,048,494",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Joel Embiid21,C,31,"7' 0""",280 lbs,Kansas,"$55,224,526",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Paul George8,F,35,"6' 8""",220 lbs,Fresno State,"$51,666,090",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Eric Gordon23,SG,36,"6' 3""",215 lbs,Indiana,"$3,468,960",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Quentin Grimes5,SG,25,"6' 4""",210 lbs,Houston,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Malcolm Hill36,G,29,"6' 6""",225 lbs,Illinois,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Kyle Lowry7,PG,39,"6' 0""",196 lbs,Villanova,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Tyrese Maxey0,PG,24,"6' 2""",200 lbs,Kentucky,"$37,958,760",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Jared McCain20,G,21,"6' 3""",195 lbs,Duke,"$4,221,360",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Igor Milicic Jr.,F,23,"6' 10""",225 lbs,Tennessee,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Kelly Oubre Jr.9,SG,29,"6' 8""",203 lbs,Kansas,"$8,382,150",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Hunter Sallis45,G,22,"6' 5""",185 lbs,Wake Forest,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Saint Thomas38,F,22,"6' 7""",235 lbs,USC,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Jabari Walker33,F,23,"6' 7""",237 lbs,Colorado,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Trendon Watford12,PF,24,"6' 8""",237 lbs,LSU,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers
,Ochai Agbaji30,G,25,"6' 5""",215 lbs,Kansas,"$6,383,525",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Scottie Barnes4,SF,24,"6' 7""",237 lbs,Florida State,"$38,661,750",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,RJ Barrett9,SG,25,"6' 6""",214 lbs,Duke,"$27,705,357",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Jamison Battle77,F,24,"6' 7""",220 lbs,Ohio State,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Ulrich Chomche22,C,19,"6' 11""",235 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Gradey Dick1,G,21,"6' 6""",200 lbs,Kansas,"$4,990,560",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
